tournament,timestamp,date_GMT,status,stadium_name,home_team_name,away_team_name,home_min_traded_price,home_max_traded_price,home_weighted_average_price,home_back_volume,draw_min_traded_price,draw_max_traded_price,draw_weighted_average_price,draw_back_volume,away_min_traded_price,away_max_traded_price,away_weighted_average_price,away_back_volume
Copa America,1561230000,Jun 22 2019 - 7:00pm,complete,Arena Corinthians (SÃ£o Paulo- SÃ£o Paulo),Peru,Brazil,11.5,14,13.1,11063.27,7.2,5.9,5.56,24812.22,1.32,1.32,1.34,369310.16
Copa America,1561316400,Jun 23 2019 - 7:00pm,complete,Arena do GrÃªmio (Porto Alegre- Rio Grande do Sul),Qatar,Argentina,13,20,16.23,14514.09,6.2,9,7.45,16177.62,1.19,1.19,1.23,500916.83
Copa America,1561316400,Jun 23 2019 - 7:00pm,complete,Arena Fonte Nova (Salvador- Bahia),Colombia,Paraguay,1.62,2.34,2.52,335757.11,4.6,3.55,3.46,85008.49,3.45,3.45,3.12,100093.49
Copa America,1561417200,Jun 24 2019 - 11:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Chile,Uruguay,3.95,3.65,3.59,51617.99,3.05,3.55,3.53,39185.87,2.26,2.26,2.28,111398.1
Copa America,1561417200,Jun 24 2019 - 11:00pm,complete,EstÃ¡dio Governador MagalhÃ£es Pinto (Belo Horizonte- Minas Gerais),Ecuador,Japan,1.86,1.9,1.99,347943.38,3.4,4.7,4.39,55362.33,3.9,3.9,3.68,50371.89
Copa America,1561681800,Jun 28 2019 - 12:30am,complete,Arena do GrÃªmio (Porto Alegre- Rio Grande do Sul),Brazil,Paraguay,1.21,1.2,1.2,456694.13,7,7.8,8.11,12108.83,21,21,22.6,9208.52
Copa America,1561748400,Jun 28 2019 - 7:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Venezuela,Argentina,6.4,8,7.75,25093.34,4.7,4.8,4.35,50188.93,1.5,1.5,1.55,347589.73
Copa America,1561764000,Jun 28 2019 - 11:20pm,complete,Arena Corinthians (SÃ£o Paulo- SÃ£o Paulo),Colombia,Chile,2.3,2.2,2.2,212838.91,3.2,3.35,3.35,59482.4,4.1,4.1,4.05,40345.24
Copa America,1561834800,Jun 29 2019 - 7:00pm,complete,Arena Fonte Nova (Salvador- Bahia),Uruguay,Peru,1.8,1.81,1.79,656480.61,3.8,3.6,3.68,65450.6,5.9,5.9,6.03,52920.84
Copa America,1562113800,Jul 03 2019 - 12:30am,complete,EstÃ¡dio Governador MagalhÃ£es Pinto (Belo Horizonte- Minas Gerais),Brazil,Argentina,1.96,1.84,1.85,524058.4,3.4,3.55,3.57,79937.41,5.7,5.7,5.46,83740.01
Copa America,1562200200,Jul 04 2019 - 12:30am,complete,Arena do GrÃªmio (Porto Alegre- Rio Grande do Sul),Chile,Peru,1.98,1.82,1.88,547830.83,3.4,3.65,3.53,89788.07,5.6,5.6,5.3,62956.67
Copa America,1562439600,Jul 06 2019 - 7:00pm,complete,Arena Corinthians (SÃ£o Paulo- SÃ£o Paulo),Argentina,Chile,1.79,2.04,1.97,286015.42,3.6,3.95,3.74,50691.62,4.1,5.3,4.41,57414.51
Copa America,1562529600,Jul 07 2019 - 8:00pm,complete,Estadio Jornalista MÃ¡rio Filho (MaracanÃ£) (Rio de Janeiro- Rio de Janeiro),Brazil,Peru,1.29,1.39,1.31,773665.16,5.4,7,6.53,71895.07,10,14.5,11.91,166112.47
